author,poem name,age,type,question
CHRISTOPHER MARLOWE,"Elegies, Book One, 5",Renaissance,Love,"How smooth a belly under her waist saw I?
How large a leg, and what a lusty thigh?
To leave the rest, all liked me passing well,
I clinged her naked body, down she fell,
Judge you the rest: being tired she bad me kiss,"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"Blood-quaffing Mars heaving the iron net,
Which limping Vulcan and his Cyclops set;
Love kindling fire, to burn such towns as Troy,
Sylvanus weeping for the lovely boy
That now is turn'd into a cypress tree,"
LOUISE BOGAN,Medusa,Modern,Mythology & Folklore,And does not drift away.
THOMAS CAMPION,Kind Are Her Answers,Renaissance,Love,"When we submit to women so:
Why do we need em,
When in their best they work our woe?
There is no wisdom
Can alter ends, by Fate prefixed."
EZRA POUND,The River-Merchants Wife: A Letter,Modern,Nature,"At fifteen I stopped scowling,
I desired my dust to be mingled with yours
Forever and forever, and forever.
Why should I climb the look out?
At sixteen you departed"
PAUL LAURENCE DUNBAR,Thou Art My Lute,Modern,Love,"From vale to vale, from mead to mead,
     And home it in the hills of song.
My song, my soul, my life, my all,
     Why need I pray or make my plea,
Since my petition cannot fall;"
HART CRANE,from The Bridge: Quaker Hill,Modern,Nature,"Facesloose panes crown the hill and gleam   
At sunset with a silent, cobwebbed patience
See them, like eyes that still uphold some dream   
Through mapled vistas, cancelled reservations!
High from the central cupola, they say"
E. E. CUMMINGS,[little tree],Modern,Nature,"just as your mother would,
only don't be afraid
look          the spangles
that sleep all the year in a dark box
dreaming of being taken out and allowed to shine,"
JOHN DONNE,Woman's Constancy,Renaissance,Love,"            Or, your own end to justify,
For having purposed change and falsehood, you
Can have no way but falsehood to be true?
Vain lunatic, against these scapes I could
            Dispute and conquer, if I would,"
LADY MARY WROTH,from Pamphilia to Amphilanthus: 4,Renaissance,Love,"    As my stervd eyes must nott with sight bee blest;
    When jealousie her poyson did disclose;
Yett in my hart unseense of jealous eye
The truer Image shall in triumph lye."
MARJORIE PICKTHALL,Song,Modern,Love,"Give me one look, one look and so good-bye,
Red rose.
I shall not go with sighs,
But as full-crowned the warrior leaves the fight,
Dawn on his shield and death upon his eyes."
SIR WALTER RALEGH,As You Came from the Holy Land (attributed),Renaissance,Love,"But true love is a durable fire,
In the mind ever burning,
Never sick, never old, never dead,
From itself never turning."
THOMAS CAMPION,I Care Not for These Ladies,Renaissance,Love,"If I love Amaryllis,
She gives me fruit and flowers:
But if we love these ladies,
We must give golden showers.
Give them gold, that sell love,"
EDMUND SPENSER,The Shepheardes Calender: January,Renaissance,Nature,"As if my yeare were wast, and woxen old.
And yet alas, but now my spring begonne,
And yet alas, yt is already donne.
You naked trees, whose shady leaves are lost,
Wherein the byrds were wont to build their bowre:"
WILLIAM SHAKESPEARE,"Sonnet 40: Take all my loves, my love, yea, take them all",Renaissance,Love,"And yet love knows it is a greater grief
To bear loves wrong than hates known injury.
    Lascivious grace, in whom all ill well shows,
    Kill me with spites, yet we must not be foes."
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"The margins of the day, accent the curbs,
Convoying divers dawns on every corner
To druggist, barber and tobacconist,
Until the graduate opacities of evening
Take them away as suddenly to somewhere"
PAUL LAURENCE DUNBAR,The Haunted Oak,Modern,Nature,"I feel in the throe of his final woe
   The touch of my own last pain.
And never more shall leaves come forth
   On the bough that bears the ban;
I am burned with dread, I am dried and dead,"
SIR PHILIP SIDNEY,"Astrophil and Stella 5: It is most true, that eyes are formed to serve",Renaissance,Love,"Which elements with mortal mixture breed;
True, that on earth we are but pilgrims made,
    And should in soul up to our country move;
True; and yet true, that I must Stella love."
JOHN DONNE,"Song: Sweetest love, I do not go",Renaissance,Love,"He hath no desire nor sense,
         Nor half so short a way:
                Then fear not me,
But believe that I shall make
Speedier journeys, since I take"
WILLIAM SHAKESPEARE,Sonnet 30: When to the sessions of sweet silent thought,Renaissance,Love,"The sad account of fore-bemoaned moan,
Which I new pay as if not paid before.
But if the while I think on thee, dear friend,
All losses are restor'd, and sorrows end."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"The noblest mind the best contentment has.
With faire discourse the evening so they pas:
For that old man of pleasing wordes had store,
And well could file his tongue as smooth as glas;
He told of Saintes and Popes, and evermore"
QUEEN ELIZABETH I,When I Was Fair and Young,Renaissance,Love,"I will so pluck your plumes as you shall say no more:
Go, go, go, seek some other where, importune me no more.
As soon as he had said, such change grew in my breast
That neither night nor day I could take any rest.
Wherefore I did repent that I had said before:"
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"In the thirteenth chapter, that ""every intellect is omni-form."")
Magnifico Lorenzo used the dodge,
Says that he met Ficino
In some Wordsworthian, false-pastoral manner,
And that they walked along, stopped at a well-head,"
WILLIAM SHAKESPEARE,Sonnet 97: How like a winter hath my absence been,Renaissance,Nature,"For summer and his pleasures wait on thee,
And thou away, the very birds are mute;
Or if they sing, tis with so dull a cheer
That leaves look pale, dreading the winter's near."
WILLIAM SHAKESPEARE,"Sonnet 19: Devouring Time, blunt thou the lion's paws",Renaissance,Love,"Him in thy course untainted do allow
For beauty's pattern to succeeding men.
Yet do thy worst, old Time! Despite thy wrong
My love shall in my verse ever live young."
EN JONSON,A Celebration of Charis: I. His Excuse for Loving,Renaissance,Love,"Keep the middle age at stay,
And let nothing high decay,
Till she be the reason why
All the world for love may die."
JOHN DONNE,To His Mistress Going to Bed,Renaissance,Love,"Off with that happy busk, which I envy,
That still can be, and still can stand so nigh.
Your gown going off, such beauteous state reveals,
As when from flowery meads thhills shadow steals.
Off with that wiry Coronet and shew"
THOMAS CAMPION,My Sweetest Lesbia,Renaissance,Love,"But fools do live, and waste their little light,
And seek with pain their ever-during night.
When timely death my life and fortune ends,
Let not my hearse be vexed with mourning friends,
But let all lovers, rich in triumph, come"
EDGAR LEE MASTERS,Sarah Brown,Modern,Nature,"There is no marriage in heaven,
But there is love."
JOHN DONNE,Elegy IX: The Autumnal,Renaissance,Love,"Whose every tooth to a several place is gone,
         To vex their souls at resurrection:
Name not these living death's-heads unto me,
         For these, not ancient, but antique be.
I hate extremes, yet I had rather stay"
THOMAS CAMPION,I Care Not for These Ladies,Renaissance,Love,"These ladies must have pillows,
And beds by strangers wrought;
Give me a bower of willows,
Of moss and leaves unbought,
And fresh Amaryllis,"
LOUIS UNTERMEYER,Magic,Modern,Nature,"Of one great path; wearing his eighty years
Like banners lifted in a wind of cheers.
Then we turned off abruptlytook the road
Cutting the village, the one with the commanding
View of the river. And we strode"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Then rudely he him thrust, and pusht with paine,
Whereat he gan to stretch: but he againe
Shooke him so hard, that forced him to speake.
As one then in a dreame, whose dryer braine
In tost with troubled sights and fancies weake,"
WILLIAM BUTLER YEATS,No Second Troy,Modern,Mythology & Folklore,"Why, what could she have done, being what she is?
Was there another Troy for her to burn?"
SIR PHILIP SIDNEY,Eleventh Song,Renaissance,Love,"""What if you new beauties see?
Will not they stir new affection?""
I will think they pictures be,
Image-like, of saints' perfection,
Poorly counterfeiting thee."
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"For there is no new thing under the sun, 
Only this uncomely man with a smoking gun 
In the gloom... 
What the devil will he gain by it? 
Digging a hole in the mud and standing all day in the rain by it "
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Mythology & Folklore,"And girt in girlonds of wild Yvie twine,
How I could reare the Muse on stately stage,
And teache her tread aloft in buskin fine,
With queint Bellona in her equipage.
But ah my corage cooles ere it be warme,"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And made him dreame of loves and lustfull play,
That nigh his manly hart did melt away,
Bathed in wanton blis and wicked joy:
Then seemed him his Lady by him lay,
And to him playnd, how that false winged boy,"
WILLIAM SHAKESPEARE,Sonnet 87: Farewell! thou art too dear for my possessing,Renaissance,Love,"So thy great gift, upon misprision growing,
Comes home again, on better judgement making.
   Thus have I had thee as a dream doth flatter:
   In sleep a king, but waking no such matter."
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"Upon the bridal day, which is not long:
      Sweet Thames, run softly, till I end my song.
From those high towers this noble lord issuing,
Like radiant Hesper when his golden hair
In th'Ocean billows he hath bathed fair,"
SIR WALTER RALEGH,Walsinghame,Renaissance,Love,"Whats the cause that she leaves you alone
And a new way doth take;
Who loved you once as her own
And her joy did you make?
I have loved her all my youth,"
IVOR GURNEY,Photographs,Modern,Love,"But onceO why did he keep that bitter token
   Of a dead Love?that boy, who, suddenly moved,
Showed me, his eyes wet, his low talk broken,
   A girl who better had not been beloved."
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Mythology & Folklore,"Indeed the Romish Tityrus, I heare,
Through his Mecoenas left his Oaten reede,
Whereon he earst had taught his flocks to feede,
And laboured lands to yield the timely eare,
And eft did sing of warres and deadly drede,"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"Poor soldiers stand with fear of death dead-strooken,
So at her presence all surpris'd and tooken,
Await the sentence of her scornful eyes;
He whom she favours lives; the other dies.
There might you see one sigh, another rage,"
SIR PHILIP SIDNEY,"Astrophil and Stella 39: Come Sleep! O Sleep, the certain knot of peace",Renaissance,Love,"A rosy garland and a weary head:
And if these things, as being thine by right,
Move not thy heavy grace, thou shalt in me,
Livelier than elsewhere, Stella's image see."
SIR PHILIP SIDNEY,Astrophil and Stella 21: Your words my friend (right healthful caustics) blame ,Renaissance,Love,"What can be hoped my harvest time will be?
Sure you say well, your wisdoms golden mine
Dig deep with learnings spade, now tell me this,
Hath this world ought so fair as Stella is?"
JOHN DONNE,The Funeral,Renaissance,Love,"Can tie those parts, and make me one of all,
Those hairs which upward grew, and strength and art
         Have from a better brain,
Can better do'it; except she meant that I
         By this should know my pain,"
JOHN DONNE,The Sun Rising,Renaissance,Love,"               Thy beams, so reverend and strong
               Why shouldst thou think?
I could eclipse and cloud them with a wink,
But that I would not lose her sight so long;
               If her eyes have not blinded thine,"
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"I shall wear the bottoms of my trousers rolled.
Shall I part my hair behind?   Do I dare to eat a peach?
I shall wear white flannel trousers, and walk upon the beach.
I have heard the mermaids singing, each to each.
I do not think that they will sing to me."
T. S. ELIOT,Portrait of a Lady,Modern,Love,"And smiles at situations which it cannot see.""
I smile, of course,
And go on drinking tea.
""Yet with these April sunsets, that somehow recall
My buried life, and Paris in the Spring,"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Ring ye the bels, ye yong men of the towne,
And leave your wonted labors for this day:
This day is holy; doe ye write it downe,
That ye for ever it remember may.
This day the sunne is in his chiefest hight,"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"For such approaches doth heaven make in death.
Think thyself labouring now with broken breath,
And think those broken and soft notes to be
Division, and thy happiest harmony.
Think thee laid on thy death-bed, loose and slack,"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Whose corage when the feend perceiv'd to shrinke,
She poured forth out of her hellish sinke
Her fruitfull cursed spawne of serpents small,
Deformed monsters, fowle, and blacke as inke,
Which swarming all about his legs did crall,"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"For lo the wished day is come at last,
That shall for al the paynes and sorrowes past,
Pay to her usury of long delight:
And whylest she doth her dight,
Doe ye to her of joy and solace sing,"
THOMAS NASHE,"In Time of Plague [Adieu, farewell, earths bliss]",Renaissance,Love,"I am sick, I must die.
   Lord, have mercy on us."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"And diapred lyke the discolored mead.
Which done, doe at her chamber dore awayt,
For she will waken strayt,
The whiles doe ye this song unto her sing,
The woods shall to you answer and your Eccho ring."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"That all the woods may answere and your eccho ring.
Now al is done; bring home the bride againe,
Bring home the triumph of our victory,
Bring home with you the glory of her gaine,
With joyance bring her and with jollity."
WILLIAM SHAKESPEARE,Sonnet 33: Full many a glorious morning have I seen,Renaissance,Nature,"But out, alack! he was but one hour mine;
The region cloud hath mask'd him from me now.
Yet him for this my love no whit disdaineth;
Suns of the world may stain when heaven's sun staineth."
MARJORIE PICKTHALL,A Saxon Epitaph,Modern,Nature,"They shall harvest the leaf of the rose
And the dust of the leaf.
Pride of the sword and power
Are theirs at their need
Who shall rule but the root of the flower"
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"For sacrifice, heaping the pyre with goods.
Sheep, to Tiresias only,
Black, and a bell sheep;
Dark blood flowed in the fosse.
Souls out of Erebus, cadaverous dead"
SIR THOMAS WYATT,They Flee From Me,Renaissance,Love,"When her loose gown from her shoulders did fall,
And she me caught in her arms long and small;
Therewithall sweetly did me kiss
And softly said, Dear heart, how like you this?
It was no dream: I lay broad waking."
D. H. LAWRENCE,Cruelty and Love ,Modern,Love,"Leans, and looks in at the low-built shed
Where hangs the swallow's marriage bed.
The bird lies warm against the wall.
She glances quick her startled eyes
Towards him, then she turns away"
SIR EDWARD DYER,A Modest Love,Renaissance,Love,"True hearts have eyes and ears, no tongues to speak;
They hear and see, and sigh, and then they break."
SIR THOMAS WYATT,Ye Old Mule,Renaissance,Love,"Ye must now serve to market and to fair,
All for the burden, for panniers a pair.
For since gray hairs been powdered in your sable,
The thing ye seek for, you must yourself enable
To purchase it by payment and by prayer,"
SAMUEL DANIEL,Delia 1: Unto the boundless Ocean of thy beauty,Renaissance,Love,"Examine well thy beauty with my truth,
And cross my cares ere greater sum arise.
Read it sweet maid, though it be done but slightly;
Who can show all his love, doth love but lightly."
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"And yet indeed her fairness doth exceed.
For lovers' eyes more sharply sighted be
Than other men's, and in dear love's delight
See more than any other eyes can see,
Through mutual receipt of beam{""e}s bright,"
JOHN DONNE,To His Mistress Going to Bed,Renaissance,Love,"Themselves are mystic books, which only we
(Whom their imputed grace will dignify)
Must see reveald. Then since that I may know;
As liberally, as to a Midwife, shew
Thy self: cast all, yea, this white linen hence,"
JOHN DONNE,The Ecstasy,Renaissance,Love,"As our blood labors to beget
         Spirits, as like souls as it can,
Because such fingers need to knit
         That subtle knot which makes us man,
So must pure lovers' souls descend"
T. S. ELIOT,Rhapsody on a Windy Night,Modern,Nature,"I have seen eyes in the street
Trying to peer through lighted shutters,
And a crab one afternoon in a pool,
An old crab with barnacles on his back,
Gripped the end of a stick which I held him."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"The cruell markes of many a bloudy fielde;
Yet armes till that time did he never wield:
His angry steede did chide his foming bitt,
As much disdayning to the curbe to yield:
Full jolly knight he seemd, and faire did sitt,"
D. H. LAWRENCE,Tortoise Shout,Modern,Love,"Mounted and tense, spread-eagle, out-reaching out of the shell
In tortoise-nakedness,
Long neck, and long vulnerable limbs extruded, spread-eagle over her house-roof,
And the deep, secret, all-penetrating tail curved beneath her walls,
Reaching and gripping tense, more reaching anguish in uttermost tension"
HART CRANE,Repose of Rivers,Modern,Nature,"At gulf gates... There, beyond the dykes
I heard wind flaking sapphire, like this summer,
And willows could not hold more steady sound."
SIR THOMAS WYATT,What should I Say,Renaissance,Love,"As I would be.
But since I see
Your double heart,
Farewell my part!
Though for to take"
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"Ne wont with crabbed care the Muses dwell.
Unwisely weaves, that takes two webbes in hand.
Who ever casts to compasse weightye prise,
And thinks to throwe out thondring words of threate:
Let powre in lavish cups and thriftie bitts of meate,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"         O how art thou dasht?
But I will not match her with Latonaes seede,
Such follie great sorow to Niobe did breede.
         Now she is a stone,
         And makes dayly mone,"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"Like as two mirrors, by oppos'd reflection,
Do both express the face's first impression.
Therefore, to make your beauty more appear,
It you behoves to love, and forth to lay
That heavenly riches which in you ye bear,"
WILLIAM BUTLER YEATS,The Wild Swans at Coole,Modern,Nature,"And scatter wheeling in great broken rings
Upon their clamorous wings.
I have looked upon those brilliant creatures,
And now my heart is sore.
All's changed since I, hearing at twilight,"
SIR PHILIP SIDNEY,"Astrophil and Stella 7: When Nature made her chief work, Stella's eyes",Renaissance,Love,"She even in black doth make all beauties flow?
Both so, and thus, she, minding Love should be
Plac'd ever there, gave him this mourning weed
To honour all their deaths who for her bleed."
EZRA POUND,The Seafarer,Modern,Nature,"Disease or oldness or sword-hate
Beats out the breath from doom-gripped body.
And for this, every earl whatever, for those speaking after 
Laud of the living, boasteth some last word,
That he will work ere he pass onward,"
SIR PHILIP SIDNEY,"Astrophil and Stella 31: With how sad steps, O Moon, thou climb'st the skies",Renaissance,Love,"Are beauties there as proud as here they be?
Do they above love to be lov'd, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"And in her bed her lay;
Lay her in lillies and in violets,
And silken courteins over her display,
And odourd sheetes, and Arras coverlets.
Behold how goodly my faire love does ly"
MARIANNE MOORE,Black Earth,Modern,Nature,"The wind.  I see
And I hear, unlike the
         Wandlike body of which one hears so much, which was made
         To see and not to see; to hear and not to hear,
That tree trunk without   "
WILLIAM SHAKESPEARE,Sonnet 73: That time of year thou mayst in me behold,Renaissance,Nature,"As the death-bed whereon it must expire,
Consum'd with that which it was nourish'd by.
This thou perceiv'st, which makes thy love more strong,
To love that well which thou must leave ere long."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And wakefull dogges before them farre do lye
Watching to banish Care their enimy,
Who oft is wont to trouble gentle Sleepe.
By them the Sprite doth passe in quietly,
And unto Morpheus comes, whom drowned deepe"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"But hasty heat tempring with sufferance wise,
He stayde his hand, and gan himselfe advise
To prove his sense, and tempt her faigned truth.
Wringing her hands in wemens pitteous wise,
Tho can she weepe, to stirre up gentle ruth,"
MARJORIE PICKTHALL,A Saxon Epitaph,Modern,Nature,"From the dream of the dust they came
As the dawn set free.
They shall pass as the flower of the flame
Or the foam of the sea.
The earth builds on the earth"
D. H. LAWRENCE,Cruelty and Love ,Modern,Love,"The sun-lit flirt who all the day
Has poised above her lips in play
And stolen kisses, shallow and gay
Of pollen, now has gone away
 She woos the moth with her sweet, low word,"
EDGAR LEE MASTERS,In Memory of Bryan Lathrop,Modern,Mythology & Folklore,"As that by which a city lifts its walls?
So men, in years to come, shall feel the power
Of this man moving through the high-ranged thought
Which plans for beauty, builds for larger life.
The stones shall rise in towers to answer him."
SIR THOMAS WYATT,Of the Mean and Sure Estate,Renaissance,Nature,"Grant them, good Lord, as Thou mayst of Thy might
To fret inward for losing such a loss."
EZRA POUND,The Seafarer,Modern,Nature,"Not though he be given his good, but will have in his youth greed;
Nor his deed to the daring, nor his king to the faithful
But shall have his sorrow for sea-fare
Whatever his lord will.
He hath not heart for harping, nor in ring-having"
SIR PHILIP SIDNEY,Astrophil and Stella 3: Let dainty wits cry on the sisters nine,Renaissance,Love,"And strange things cost too dear for my poor sprites.
How then? even thus: in Stella's face I read
What love and beauty be; then all my deed
But copying is, what in her Nature writes."
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"I would have you meet this bartered blood.
Imminent in his dream, none better knows
The white wafer cheek of love, or offers words
Lightly as moonlight on the eaves meets snow.
Reflective conversion of all things"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And looked in: his glistring armor made
A litle glooming light, much like a shade,
By which he saw the ugly monster plaine,
Halfe like a serpent horribly displaide,
But th'other halfe did womans shape retaine,"
WILLIAM BYRD,Care for Thy Soul as Thing of Greatest Price,Renaissance,Nature,"Care for the world for bodys help alway;
      Care yet but so as virtue may prevail.
Care in such sort that thou be sure of this:
Care keep thee not from heaven and heavenly bliss."
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"Of fowls so lovely, that they sure did deem
Them heavenly born, or to be that same pair
Which through the sky draw Venus' silver team;
For sure they did not seem
To be begot of any earthly seed,"
SIR WALTER RALEGH,Walsinghame,Renaissance,Love,"He is blind, he is deaf when he list
And in faith never fast.
His desire is a dureless content
And a trustless joy
He is won with a world of despair"
EDMUND SPENSER,The Shepheardes Calender: January,Renaissance,Nature,"My timely buds with wayling all are wasted:
The blossome, which my braunch of youth did beare,
With breathed sighes is blowne away, & blasted,
And from mine eyes the drizling teares descend,
As on your boughes the ysicles depend."
JOHN DONNE,The Relic,Renaissance,Love,"These miracles we did, but now alas,
All measure, and all language, I should pass,
Should I tell what a miracle she was."
EZRA POUND,Envoi,Modern,Love,"May be as fair as hers,
Might, in new ages, gain her worshippers,
When our two dusts with Wallers shall be laid,
Siftings on siftings in oblivion,
Till change hath broken down"
RICHARD ALDINGTON,,Modern,Mythology & Folklore,"This only remains:
That in the end we turn to thee,
Death,
That we turn to thee, singing
One last song."
RICHARD ALDINGTON,To a Greek Marble,Modern,Nature,"Of our loves in Phrygia,
The far ecstasy of burning noons
When the fragile pipes
Ceased in the cypress shade,
And the brown fingers of the shepherd"
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"Alas, it wyll me slo,
That Phillyp is gone me fro!"
HART CRANE,from The Bridge: Quaker Hill,Modern,Nature,"But I must ask slain Iroquois to guide
Me farther than scalped Yankees knew to go:   
Shoulder the curse of sundered parentage,   
Wait for the postman driving from Birch Hill   
With birthright by blackmail, the arrant page   "
ISABELLA WHITNEY,"A Communication Which the Author Had to London, Before She Made Her Will",Renaissance,Love,"And leave to thee such treasury,
   as I in it recite.
Now stand aside and give me leave
      to write my latest will;
And see that none you do deceive"
PAUL LAURENCE DUNBAR,Night of Love,Modern,Nature,"That men should wake to sing, love;
While maidens sleep and dream.
Them care may not molest, love,
Nor stir them from their slumbers,
Though midnight find the swain, love."
WILLIAM BUTLER YEATS,The Lake Isle of Innisfree,Modern,Nature,"While I stand on the roadway, or on the pavements grey,
I hear it in the deep hearts core."
JOHN DONNE,A Valediction: Forbidding Mourning,Renaissance,Love,"Our two souls therefore, which are one,
   Though I must go, endure not yet
A breach, but an expansion,
   Like gold to airy thinness beat.
If they be two, they are two so"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"Many would praise the sweet smell as she past,
When twas the odour which her breath forth cast;
And there for honey bees have sought in vain,
And beat from thence, have lighted there again.
About her neck hung chains of pebble-stone,"
LADY MARY WROTH,"from The Countesse of Montgomerys Urania: Love peruse me, seeke, and finde",Renaissance,Love,"            Which doe bring.
            Gaine and sting.
Pray desect me, sinewes, vaines,
Hold, and loves life in those gaines;
            Lying bare"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"Should be employ'd, because in all she did
Some figure of the golden times was hid.
Who could not lack, what'er this world could give,
Because she was the form, that made it live;
Nor could complain that this world was unfit"
EZRA POUND,The Seafarer,Modern,Nature,"Earthly glory ageth and seareth.
No man at all going the earth's gait,
But age fares against him, his face paleth,
Grey-haired he groaneth, knows gone companions,
Lordly men are to earth o'ergiven,"
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"All as the shepheard, that did fetch his dame
From Plutoes balefull bowre withouten leave:
His musicks might the hellish hound did tame.
CUDDIE
So praysen babes the Peacoks spotted traine,"
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"That is a flode of hell;
And from the great Pluto,
The prynce of endles wo;
And from foule Alecto,
With vysage blacke and blo;"
